财经频道,#genre#

央视财经,http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000203603.m3u8
北京财经,http://ivi.bupt.edu.cn/hls/btv5.m3u8
东方财经.浦东,http://117.156.28.21/PLTV/88888888/224/3221225667/index.m3u8
东方财经.浦东,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221225812/1.m3u8
无线财经,mitv://198.255.74.57:12396/5e5020810002752f3d32ff252f84c69d.ts#p8p://0198.02686.cc:16871/5d6000ef00075fa1eddd111e1452c6bc.ts
无线财经,http://103.145.38.152/axg999.php?id=10
无线财经,http://47.56.167.95/iptv222.php?id=10
台视财经,//usb.bozztv.com/ssh101/TTVHD/TTVHD/index.m3u8

上海频道,#genre#
五星体育,http://117.156.28.21/PLTV/88888888/224/3221225603/index.m3u8
东方卫视超清,http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000292403.m3u8
东方影视,http://mtv.jdvip.win/tv/mgutv.php?id=617290047

央视频道,#genre#

CCTV 4K 高码率,http://117.148.187.83/PLTV/88888888/224/3221226758/index.m3u8
纯享4K,http://112.50.243.8/PLTV/88888888/224/3221226825/1.m3u8
CCTV-1 综合 FHD,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000210103.m3u8
CCTV-2 财经 FHD,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000203603.m3u8
CCTV-3 综艺 FHD,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000203803.m3u8
CCTV-4 国际 FHD,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000204803.m3u8
CCTV-5 体育 FHD,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000205103.m3u8
CCTV-5+ 体育赛事 FHD,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000204503.m3u8
